customer_id	tot_travel_sales	tot_sales	travel_sales_percentage
2738	20	20	100,000000
2739	2	2	100,000000
2740	0	24	,000000
2741	11	11	100,000000
2742	42	42	100,000000
2743	2	43	4,651163
2745	7	7	100,000000
2746	13	13	100,000000
2747	18	18	100,000000
2748	13	13	100,000000
2749	52	52	100,000000
2750	4	4	100,000000
2751	23	23	100,000000
2752	20	20	100,000000
2754	0	2	,000000
2755	3	3	100,000000
2756	0	90	,000000
2757	17	17	100,000000
2758	7	7	100,000000
2759	13	13	100,000000
2760	18	18	100,000000
2762	57	57	100,000000
2763	0	22	,000000
2764	18	18	100,000000
2765	7	7	100,000000
2766	0	5	,000000
2767	25	25	100,000000
2769	0	201	,000000
2770	17	17	100,000000
2771	11	11	100,000000
2772	0	8	,000000
2773	25	25	100,000000
2775	15	15	100,000000
2776	0	26	,000000
2777	42	42	100,000000
2778	1	3	33,333333
2779	20	20	100,000000
2780	10	10	100,000000
2781	19	19	100,000000
2782	14	14	100,000000
2783	1	1	100,000000
2784	11	11	100,000000
2785	16	16	100,000000
2786	13	13	100,000000
2787	0	69	,000000
2788	12	19	63,157895
2790	50	58	86,206897
2791	0	38	,000000
2792	4	4	100,000000
2793	31	31	100,000000
2794	22	22	100,000000
2795	18	38	47,368421
2796	0	12	,000000
2797	4	4	100,000000
2798	30	30	100,000000
2799	12	12	100,000000
2800	9	9	100,000000
2801	0	6	,000000
2802	53	53	100,000000
2803	14	14	100,000000
2804	4	4	100,000000
2805	0	3	,000000
2806	6	6	100,000000
2808	59	59	100,000000
2809	14	14	100,000000
2810	13	13	100,000000
2812	4	4	100,000000
2813	13	13	100,000000
2814	0	44	,000000
2815	0	35	,000000
2817	16	16	100,000000
2818	35	35	100,000000
2819	3	3	100,000000
2820	9	23	39,130435
2821	15	15	100,000000
2822	14	14	100,000000
2823	0	13	,000000
2824	8	8	100,000000
2825	36	36	100,000000
2826	5	17	29,411765
2827	12	12	100,000000
2828	14	14	100,000000
2829	0	92	,000000
2830	30	30	100,000000
2831	6	6	100,000000
2832	34	34	100,000000
2833	19	19	100,000000
2834	18	18	100,000000
2835	16	16	100,000000
2836	5	5	100,000000
2837	9	9	100,000000
2838	28	28	100,000000
2839	17	17	100,000000
2840	15	15	100,000000
2841	4	4	100,000000
2842	8	8	100,000000
2844	13	13	100,000000
2845	6	6	100,000000
2846	63	63	100,000000
2847	5	5	100,000000
2848	16	16	100,000000
2849	7	19	36,842105
2850	97	97	100,000000
2851	15	15	100,000000
2852	0	141	,000000
2854	5	5	100,000000
2856	48	48	100,000000
2857	12	12	100,000000
2858	28	28	100,000000
2859	2	2	100,000000
2861	40	40	100,000000
2862	0	104	,000000
2863	59	59	100,000000
2864	7	7	100,000000
2865	9	9	100,000000
2866	17	17	100,000000
2868	55	55	100,000000
2869	28	28	100,000000
2870	18	18	100,000000
2871	17	17	100,000000
2872	12	12	100,000000
2873	10	10	100,000000
2875	16	16	100,000000
